CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/08 02:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/08 03:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/08 04:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/08 05:00;1;Valle;20;1;
ES0021000008305769EY;2024/07/08 06:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/08 07:00;1;Valle;276;0;
ES0021000008305769EY;2024/07/08 08:00;1;Valle;320;0;
ES0021000008305769EY;2024/07/08 09:00;1;Llano;239;0;
ES0021000008305769EY;2024/07/08 10:00;1;Llano;285;0;
ES0021000008305769EY;2024/07/08 11:00;1;Punta;135;0;
ES0021000008305769EY;2024/07/08 12:00;1;Punta;56;0;
ES0021000008305769EY;2024/07/08 13:00;1;Punta;25;129;
ES0021000008305769EY;2024/07/08 14:00;1;Punta;0;2246;
ES0021000008305769EY;2024/07/08 15:00;1;Llano;0;2685;
ES0021000008305769EY;2024/07/08 16:00;1;Llano;0;2510;
ES0021000008305769EY;2024/07/08 17:00;1;Llano;0;2876;
ES0021000008305769EY;2024/07/08 18:00;1;Llano;0;2048;
ES0021000008305769EY;2024/07/08 19:00;1;Punta;0;1447;
ES0021000008305769EY;2024/07/08 20:00;1;Punta;1;855;
ES0021000008305769EY;2024/07/08 21:00;1;Punta;7;164;
ES0021000008305769EY;2024/07/08 22:00;1;Punta;17;0;
ES0021000008305769EY;2024/07/08 23:00;1;Llano;19;0;
ES0021000008305769EY;2024/07/09 00:00;1;Llano;20;1;
ES0021000008305769EY;2024/07/09 01:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/09 02:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/09 03:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/09 04:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/09 05:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/09 06:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/09 07:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/09 08:00;1;Valle;29;0;
ES0021000008305769EY;2024/07/09 09:00;1;Llano;59;0;
ES0021000008305769EY;2024/07/09 10:00;1;Llano;45;1;
ES0021000008305769EY;2024/07/09 11:00;1;Punta;55;0;
ES0021000008305769EY;2024/07/09 12:00;1;Punta;51;0;
ES0021000008305769EY;2024/07/09 13:00;1;Punta;17;1264;
ES0021000008305769EY;2024/07/09 14:00;1;Punta;0;2749;
ES0021000008305769EY;2024/07/09 15:00;1;Llano;1;2709;
ES0021000008305769EY;2024/07/09 16:00;1;Llano;0;2910;
ES0021000008305769EY;2024/07/09 17:00;1;Llano;0;2894;
ES0021000008305769EY;2024/07/09 18:00;1;Llano;0;1822;
ES0021000008305769EY;2024/07/09 19:00;1;Punta;0;1422;
ES0021000008305769EY;2024/07/09 20:00;1;Punta;0;912;
ES0021000008305769EY;2024/07/09 21:00;1;Punta;14;164;
ES0021000008305769EY;2024/07/09 22:00;1;Punta;20;0;
ES0021000008305769EY;2024/07/09 23:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/10 00:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/10 01:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/10 02:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/10 03:00;1;Valle;21;1;
ES0021000008305769EY;2024/07/10 04:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/10 05:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/10 06:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/10 07:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/10 08:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/10 09:00;1;Llano;21;0;
ES0021000008305769EY;2024/07/10 10:00;1;Llano;59;0;
ES0021000008305769EY;2024/07/10 11:00;1;Punta;57;1;
ES0021000008305769EY;2024/07/10 12:00;1;Punta;51;0;
ES0021000008305769EY;2024/07/10 13:00;1;Punta;30;576;
ES0021000008305769EY;2024/07/10 14:00;1;Punta;0;2858;
ES0021000008305769EY;2024/07/10 15:00;1;Llano;0;3250;
ES0021000008305769EY;2024/07/10 16:00;1;Llano;0;3278;
